"","id","agencyID","Name.en","Name.lt","Description.en","Description.lt","version","uri","urn","isExternalReference","isFinal","validFrom","validTo","dsdRef"
"11","S1R009_M8020418","LSD","S1R009 - Heating of dwellings","S1R009 - Bustu apšildymas","Place of residence | Type of supply (2009 - 2009) (Not be renewed)","Gyvenamoji vietove | Teikimo budas (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R009_M8020418(1.0)",FALSE,FALSE,NA,NA,"M8020418"
"12","S1R010_M8020403","LSD","S1R010 - Number of dwellings","S1R010 - Bustu skaicius (energijos suvartojimo tyrimo informacija)","Cc | Year of construction (2009 - 2009) (Not be renewed)","Pastatymo metai | Pastatu pagal tipa klasifikatorius (CC) (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020403(1.0)",FALSE,FALSE,NA,NA,"M8020403"
"13","S1R010_M8020404","LSD","S1R010 - Number of dwellings","S1R010 - Bustu skaicius (energijos suvartojimo tyrimo informacija)","Cc | Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietove | Pastatu pagal tipa klasifikatorius (CC) (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020404(1.0)",FALSE,FALSE,NA,NA,"M8020404"
"14","S1R010_M8020413","LSD","S1R010 - Number of dwellings","S1R010 - Bustu skaicius (energijos suvartojimo tyrimo informacija)","Heated area | Number of persons | Urban/rural (2009 - 2009) (Not be renewed)","Apšildomas plotas | Asmenu skaicius | Vietove (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020413(1.0)",FALSE,FALSE,NA,NA,"M8020413"
"15","S1R010_M8020406","LSD","S1R010 - Number of dwellings","S1R010 - Bustu skaicius (energijos suvartojimo tyrimo informacija)","Number of persons | Place of residence (2009 - 2009) (Not be renewed)","Asmenu skaicius | Gyvenamoji vietove (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020406(1.0)",FALSE,FALSE,NA,NA,"M8020406"
"16","S1R010_M8020408","LSD","S1R010 - Number of dwellings","S1R010 - Bustu skaicius (energijos suvartojimo tyrimo informacija)","Heated area | Place of residence (2009 - 2009) (Not be renewed)","Apšildomas plotas | Gyvenamoji vietove (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020408(1.0)",FALSE,FALSE,NA,NA,"M8020408"
"17","S1R010_M8020414","LSD","S1R010 - Number of dwellings","S1R010 - Bustu skaicius (energijos suvartojimo tyrimo informacija)","Cc | Number of persons (2009 - 2009) (Not be renewed)","Asmenu skaicius | Pastatu pagal tipa klasifikatorius (CC) (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020414(1.0)",FALSE,FALSE,NA,NA,"M8020414"
"18","S1R010_M8020415","LSD","S1R010 - Number of dwellings","S1R010 - Bustu skaicius (energijos suvartojimo tyrimo informacija)","Cc | Heated area | Number of persons (2009 - 2009) (Not be renewed)","Apšildomas plotas | Asmenu skaicius | Pastatu pagal tipa klasifikatorius (CC) (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020415(1.0)",FALSE,FALSE,NA,NA,"M8020415"
"19","S1R010_M8020405","LSD","S1R010 - Number of dwellings","S1R010 - Bustu skaicius (energijos suvartojimo tyrimo informacija)","Year of construction | Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietove | Pastatymo metai (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020405(1.0)",FALSE,FALSE,NA,NA,"M8020405"
"20","S1R010_M8020407","LSD","S1R010 - Number of dwellings","S1R010 - Bustu skaicius (energijos suvartojimo tyrimo informacija)","Place of residence | Type of household (2009 - 2009) (Not be renewed)","Gyvenamoji vietove | Namu ukio tipas (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020407(1.0)",FALSE,FALSE,NA,NA,"M8020407"
"21","S1R010_M8020402","LSD","S1R010 - Number of dwellings","S1R010 - Bustu skaicius (energijos suvartojimo tyrimo informacija)","Place of residence | Property Type (2009 - 2009) (Not be renewed)","Gyvenamoji vietove | Nuosavybes tipas (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020402(1.0)",FALSE,FALSE,NA,NA,"M8020402"
"22","S1R010_M8020409","LSD","S1R010 - Number of dwellings","S1R010 - Bustu skaicius (energijos suvartojimo tyrimo informacija)","House Renewal | Place of residence (2009 - 2009) (Not be renewed)","Busto atnaujinimas | Gyvenamoji vietove (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020409(1.0)",FALSE,FALSE,NA,NA,"M8020409"
"23","S1R011_M8010201","LSD","S1R011 - Proven reserves at the beginning of the year","S1R011 - Detaliai išžvalgytu naudinguju iškasenu ištekliai metu pradžioje","Type (1996 - 2018) (Not be renewed)","Rušis (1996 - 2018) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R011_M8010201(1.0)",FALSE,FALSE,NA,NA,"M8010201"
"24","S1R012_M8030301","LSD","S1R012 - Exports of materials and raw materials","S1R012 - Eksportuota žaliavu ir medžiagu","Raw materials (1996 - 2009) (Not be renewed)","Žaliavu ir medžiagu rušis (1996 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R012_M8030301(1.0)",FALSE,FALSE,NA,NA,"M8030301"
"25","S1R020_M8030301","LSD","S1R020 - Imports of materials and raw materials","S1R020 - Importuota žaliavu ir medžiagu","Raw materials (1996 - 2009) (Not be renewed)","Žaliavu ir medžiagu rušis (1996 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R020_M8030301(1.0)",FALSE,FALSE,NA,NA,"M8030301"
"26","S1R021_M8010703","LSD","S1R021 - Bridging items for air emissions","S1R021 - Išmetamuju teršalu jungiamieji rodikliai","Air pollutant | Indicators (1998 - 2008) (Not be renewed)","Rodikliai | Teršalai (1998 - 2008) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R021_M8010703(1.0)",FALSE,FALSE,NA,NA,"M8010703"
"27","S1R021_M8010706","LSD","S1R021 - Bridging items for air emissions","S1R021 - Išmetamuju teršalu jungiamieji rodikliai","Air pollutant | Indicators (2008 - 2016) (Was renewed: 2018-11-12)","Rodikliai | Teršalai (2008 - 2016) (Atnaujinta: 2018-11-12)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R021_M8010706(1.0)",FALSE,FALSE,NA,NA,"M8010706"
"28","S1R022_M8010501_2","LSD","S1R022 - Environmental protection investment of enterprises","S1R022 - Imoniu investicijos aplinkos apsaugai","Activity of environment protection | Economic activity (NACE Rev. 1.1) | Investment trends (2001 - 2007) (Not be renewed)","Aplinkos apsaugos veikla | Ekonomines veiklos rušis (EVRK 1.1 red.) | Investiciju kryptis (2001 - 2007) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R022_M8010501_2(1.0)",FALSE,FALSE,NA,NA,"M8010501_2"
"29","S1R022_M8010502_2","LSD","S1R022 - Environmental protection investment of enterprises","S1R022 - Imoniu investicijos aplinkos apsaugai","Activity of environment protection | Economic activity (NACE Rev. 2) | Investment trends (2008 - 2017) (Was renewed: 2018-11-12)","Aplinkos apsaugos veikla | Ekonomines veiklos rušis (EVRK 2 red.) | Investiciju kryptis (2008 - 2017) (Atnaujinta: 2018-11-12)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R022_M8010502_2(1.0)",FALSE,FALSE,NA,NA,"M8010502_2"
"30","S1R023_M8010501_1","LSD","S1R023 - Environmental protection current expenditure of enterprises","S1R023 - Imoniu einamosios išlaidos aplinkos apsaugai","Activity of environment protection | Economic activity (NACE Rev. 1.1) | Type of expenditure (2001 - 2007) (Not be renewed)","Aplinkos apsaugos veikla | Ekonomines veiklos rušis (EVRK 1.1 red.) | Išlaidu rušis (2001 - 2007) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R023_M8010501_1(1.0)",FALSE,FALSE,NA,NA,"M8010501_1"
"31","S1R023_M8010502_1","LSD","S1R023 - Environmental protection current expenditure of enterprises","S1R023 - Imoniu einamosios išlaidos aplinkos apsaugai","Activity of environment protection | Economic activity (NACE Rev. 2) | Type of expenditure (2008 - 2017) (Was renewed: 2018-11-12)","Aplinkos apsaugos veikla | Ekonomines veiklos rušis (EVRK 2 red.) | Išlaidu rušis (2008 - 2017) (Atnaujinta: 2018-11-12)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R023_M8010502_1(1.0)",FALSE,FALSE,NA,NA,"M8010502_1"
"32","S1R024_M8010501_3","LSD","S1R024 - Income of enterprises from by-products","S1R024 - Imoniu pajamos iš šalutiniu produktu aplinkos apsaugai","Activity of environment protection | Economic activity (NACE Rev. 1.1) (2001 - 2007) (Not be renewed)","Aplinkos apsaugos veikla | Ekonomines veiklos rušis (EVRK 1.1 red.) (2001 - 2007) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R024_M8010501_3(1.0)",FALSE,FALSE,NA,NA,"M8010501_3"
"33","S1R024_M8010502_3","LSD","S1R024 - Income of enterprises from by-products","S1R024 - Imoniu pajamos iš šalutiniu produktu aplinkos apsaugai","Activity of environment protection | Economic activity (NACE Rev. 2) (2008 - 2017) (Was renewed: 2018-11-12)","Aplinkos apsaugos veikla | Ekonomines veiklos rušis (EVRK 2 red.) (2008 - 2017) (Atnaujinta: 2018-11-12)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R024_M8010502_3(1.0)",FALSE,FALSE,NA,NA,"M8010502_3"
"34","S1R025_M8030302","LSD","S1R025 - Consumption of ferrous and non-ferrous scrap metal","S1R025 - Juoduju ir spalvotuju metalu laužo panaudojimas","Counties | Scrap metal (1995 - 2018) (Was renewed: 2019-06-14)","Apskritys | Metalu laužo rušis (1995 - 2018) (Atnaujinta: 2019-06-14)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R025_M8030302(1.0)",FALSE,FALSE,NA,NA,"M8030302"
"35","S1R025_M8030308","LSD","S1R025 - Consumption of ferrous and non-ferrous scrap metal","S1R025 - Juoduju ir spalvotuju metalu laužo panaudojimas","Economic activity (NACE Rev. 2) | Scrap metal (2008 - 2018) (Was renewed: 2019-06-14)","Ekonomines veiklos rušis (EVRK 2 red.) | Metalu laužo rušis (2008 - 2018) (Atnaujinta: 2019-06-14)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R025_M8030308(1.0)",FALSE,FALSE,NA,NA,"M8030308"
"36","S1R026_M8030302","LSD","S1R026 - Formation of ferrous and non-ferrous scrap metal","S1R026 - Juoduju ir spalvotuju metalu laužo susidarymas","Counties | Scrap metal (1995 - 2018) (Was renewed: 2019-06-14)","Apskritys | Metalu laužo rušis (1995 - 2018) (Atnaujinta: 2019-06-14)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R026_M8030302(1.0)",FALSE,FALSE,NA,NA,"M8030302"
"37","S1R026_M8030304","LSD","S1R026 - Formation of ferrous and non-ferrous scrap metal","S1R026 - Juoduju ir spalvotuju metalu laužo susidarymas","Formation source | Scrap metal (1995 - 2018) (Was renewed: 2019-06-14)","Metalu laužo rušis | Susidarymo šaltinis (1995 - 2018) (Atnaujinta: 2019-06-14)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R026_M8030304(1.0)",FALSE,FALSE,NA,NA,"M8030304"
"38","S1R026_M8030308","LSD","S1R026 - Formation of ferrous and non-ferrous scrap metal","S1R026 - Juoduju ir spalvotuju metalu laužo susidarymas","Economic activity (NACE Rev. 2) | Scrap metal (2008 - 2018) (Was renewed: 2019-06-14)","Ekonomines veiklos rušis (EVRK 2 red.) | Metalu laužo rušis (2008 - 2018) (Atnaujinta: 2019-06-14)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R026_M8030308(1.0)",FALSE,FALSE,NA,NA,"M8030308"
"39","S1R037_M8020429","LSD","S1R037 - Fuel and energy consumption in households by type","S1R037 - Bendrasis kuro ir energijos suvartojimas namu ukiuose","Fuel and energy (2009 - 2009) (Not be renewed)","Kuro ir energijos rušis (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R037_M8020429(1.0)",FALSE,FALSE,NA,NA,"M8020429"
"40","S1R037_M8020430","LSD","S1R037 - Fuel and energy consumption in households by type","S1R037 - Bendrasis kuro ir energijos suvartojimas namu ukiuose","Fuel and energy (2009 - 2009) (Not be renewed)","Kuro ir energijos rušis (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R037_M8020430(1.0)",FALSE,FALSE,NA,NA,"M8020430"
"41","S1R042_M8020431","LSD","S1R042 - Fuel and energy consumption in households by type of end use","S1R042 - Kuro ir energijos suvartojimo namu ukiuose kryptys","Fuel and energy | Kind of use (2009 - 2009) (Not be renewed)","Energijos panaudojimo kryptis | Kuro ir energijos rušis (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R042_M8020431(1.0)",FALSE,FALSE,NA,NA,"M8020431"
"42","S1R049_M8010103","LSD","S1R049 - Protected species registered in the Red Data Book of Lithuania","S1R049 - Lietuvos raudonojoje knygoje irašytos saugomos rušys","Category | Protected group of flora / fauna (2001 - 2017) (Not be renewed)","Kategorija | Saugoma augalu / gyvunu grupe (2001 - 2017) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R049_M8010103(1.0)",FALSE,FALSE,NA,NA,"M8010103"
"43","S1R050_M8020422","LSD","S1R050 - Types of fuel and energy used for cooking","S1R050 - Kuro ir energijos suvartojimas namu ukiuose maistui gaminti","Fuel and energy (2009 - 2009) (Not be renewed)","Kuro ir energijos rušis (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R050_M8020422(1.0)",FALSE,FALSE,NA,NA,"M8020422"
"44","S1R051_M8010601","LSD","S1R051 - Material flow accounts","S1R051 - Medžiagu srautu saskaitos","Material flow categories | Materials (2000 - 2017) (Was renewed: 2018-11-16)","Medžiagu srautas | Žaliavu ir medžiagu rušis (2000 - 2017) (Atnaujinta: 2018-11-16)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R051_M8010601(1.0)",FALSE,FALSE,NA,NA,"M8010601"
"45","S1R052_M8010602","LSD","S1R052 - Domestic material consumption","S1R052 - Medžiagu vidaus vartojimas","Total (2000 - 2017) (Was renewed: 2018-11-16)","Suminis (2000 - 2017) (Atnaujinta: 2018-11-16)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R052_M8010602(1.0)",FALSE,FALSE,NA,NA,"M8010602"
"46","S1R056_M8020434","LSD","S1R056 - Household expenditure on energy","S1R056 - Namu ukiu išlaidos energijai","Fuel and energy (2009 - 2009) (Not be renewed)","Kuro ir energijos rušis (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R056_M8020434(1.0)",FALSE,FALSE,NA,NA,"M8020434"
"47","S1R057_M8020406","LSD","S1R057 - Number of households (energy consumption survey information)","S1R057 - Namu ukiu skaicius (energijos suvartojimo tyrimo informacija)","Number of persons | Place of residence (2009 - 2009) (Not be renewed)","Asmenu skaicius | Gyvenamoji vietove (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R057_M8020406(1.0)",FALSE,FALSE,NA,NA,"M8020406"
"48","S1R057_M8020408","LSD","S1R057 - Number of households (energy consumption survey information)","S1R057 - Namu ukiu skaicius (energijos suvartojimo tyrimo informacija)","Heated area | Place of residence (2009 - 2009) (Not be renewed)","Apšildomas plotas | Gyvenamoji vietove (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R057_M8020408(1.0)",FALSE,FALSE,NA,NA,"M8020408"
"49","S1R058_M8010702","LSD","S1R058 - Air emissions from households","S1R058 - Namu ukiu teršalu kiekis, išmestas i atmosfera","Air pollutant | Household activities (1998 - 2008) (Not be renewed)","Namu ukiu veiklos | Teršalai (1998 - 2008) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R058_M8010702(1.0)",FALSE,FALSE,NA,NA,"M8010702"
"50","S1R058_M8010705","LSD","S1R058 - Air emissions from households","S1R058 - Namu ukiu teršalu kiekis, išmestas i atmosfera","Air pollutant | Household activities (2008 - 2016) (Was renewed: 2018-11-12)","Namu ukiu veiklos | Teršalai (2008 - 2016) (Atnaujinta: 2018-11-12)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R058_M8010705(1.0)",FALSE,FALSE,NA,NA,"M8010705"
"51","S1R059_M8010202","LSD","S1R059 - Extraction of mineral resources at the beginning of the year","S1R059 - Naudinguju iškasenu gavyba metu pradžioje","Type (1996 - 2018) (Not be renewed)","Rušis (1996 - 2018) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R059_M8010202(1.0)",FALSE,FALSE,NA,NA,"M8010202"
"52","S1R060_M8030301","LSD","S1R060 - Production of materials and raw materials","S1R060 - Pagaminta žaliavu ir medžiagu","Raw materials (1996 - 2009) (Not be renewed)","Žaliavu ir medžiagu rušis (1996 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R060_M8030301(1.0)",FALSE,FALSE,NA,NA,"M8030301"
"53","S1R064_M8020410","LSD","S1R064 - Renovated dwellings","S1R064 - Renovuoti bustai (energijos suvartojimo tyrimo informacija)","Kind of construction work | Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietove | Statybos darbu rušis (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R064_M8020410(1.0)",FALSE,FALSE,NA,NA,"M8020410"
"54","S1R065_M8010102","LSD","S1R065 - Protected species in state strict reserves and national parks","S1R065 - Valstybiniuose rezervatuose ir nacionaliniuose parkuose saugomos rušys ","Protected group of flora / fauna | Type of territory (2000 - 2017) (Not be renewed)","Saugoma augalu / gyvunu grupe | Teritorijos tipas (2000 - 2017) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R065_M8010102(1.0)",FALSE,FALSE,NA,NA,"M8010102"
"55","S1R066_M8010101_2","LSD","S1R066 - Number of protected areas","S1R066 - Saugomu teritoriju skaicius","Type of territory (2002 - 2018) (Not be renewed)","Teritorijos tipas (2002 - 2018) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R066_M8010101_2(1.0)",FALSE,FALSE,NA,NA,"M8010101_2"
"56","S1R067_M8010101_1","LSD","S1R067 - Total area of protected areas","S1R067 - Saugomu teritoriju plotas","Type of territory (2002 - 2018) (Not be renewed)","Teritorijos tipas (2002 - 2018) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R067_M8010101_1(1.0)",FALSE,FALSE,NA,NA,"M8010101_1"
"57","S1R069_M8011001","LSD","S1R069 - Environmentally related taxes","S1R069 - Su aplinka susije mokesciai","Economic activity (NACE Rev. 1.1) | Taxe (2004 - 2008) (Not be renewed)","Ekonomines veiklos rušis (EVRK 1.1 red.) | Mokestis (2004 - 2008) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R069_M8011001(1.0)",FALSE,FALSE,NA,NA,"M8011001"
"58","S1R069_M8011003","LSD","S1R069 - Environmentally related taxes","S1R069 - Su aplinka susije mokesciai","Economic activity (NACE Rev. 2) | Taxe (2008 - 2016) (Was renewed: 2018-11-12)","Ekonomines veiklos rušis (EVRK 2 red.) | Mokestis (2008 - 2016) (Atnaujinta: 2018-11-12)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R069_M8011003(1.0)",FALSE,FALSE,NA,NA,"M8011003"
"59","S1R071_M8030301","LSD","S1R071 - Consumption of materials and raw materials","S1R071 - Sunaudota žaliavu ir medžiagu","Raw materials (1996 - 2009) (Not be renewed)","Žaliavu ir medžiagu rušis (1996 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R071_M8030301(1.0)",FALSE,FALSE,NA,NA,"M8030301"
"60","S1R073_M8030303","LSD","S1R073 - Stock of precious metals at the end of the year","S1R073 - Tauriuju metalu atsargos metu pabaigoje","Precious metal (1991 - 2015) (Not be renewed)","Tauriojo metalo rušis (1991 - 2015) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R073_M8030303(1.0)",FALSE,FALSE,NA,NA,"M8030303"
"61","S1R073_M8030306","LSD","S1R073 - Stock of precious metals at the end of the year","S1R073 - Tauriuju metalu atsargos metu pabaigoje","Economic activity (NACE Rev. 2) | Precious metal (1995 - 2015) (Not be renewed)","Ekonomines veiklos rušis (EVRK 2 red.) | Tauriojo metalo rušis (1995 - 2015) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R073_M8030306(1.0)",FALSE,FALSE,NA,NA,"M8030306"
